symbol,sustainable_impact_solutions,is_sustainable
ACES,0.6696,1.0
ACWI,0.0,0.0
AGG,0.0,0.0
AQWA,0.2412,1.0
BATT,0.3235,1.0
BECO,0.20800000000000002,1.0
BIL,0.0,0.0
BIV,0.0,0.0
BLLD,0.2867,1.0
BND,0.0,0.0
BNDX,0.0,0.0
BNE,0.258,1.0
BSV,0.0,0.0
CCSO,0.2758,1.0
CGW,0.2505,1.0
CLNR,0.244,1.0
CNRG,0.34009999999999996,1.0
CNXT,0.267,1.0
COWZ,0.0,0.0
CTEC,0.6687000000000001,1.0
CTEX,0.4048,1.0
DFAC,0.0,0.0
DGRO,0.0,0.0
DIA,0.0,0.0
DTRE,0.2357,1.0
DVY,0.0,0.0
EBLU,0.2291,1.0
EEM,0.0,0.0
EFA,0.0,0.0
EFRA,0.2372,1.0
EFV,0.0,0.0
ENRG,0.387,1.0
ERET,0.2938,1.0
ERTH,0.7722,1.0
ETEC,0.5111,1.0
EVAV,0.3345,1.0
FAN,0.4893,1.0
FDRV,0.3099,1.0
FIW,0.2236,1.0
FRNW,0.6928,1.0
GBLD,0.6748000000000001,1.0
GCLN,0.29960000000000003,1.0
GLD,0.0,0.0
GOVT,0.0,0.0
GRNR,0.3973,1.0
GSFP,0.21289999999999998,1.0
HAIL,0.2248,1.0
HAUZ,0.24989999999999998,1.0
HDRO,0.2736,1.0
HEAT,0.2095,1.0
HJEN,0.1975,1.0
HYDR,0.3741,1.0
IAU,0.0,0.0
ICLN,0.569,1.0
IDRV,0.3834,1.0
IEF,0.0,0.0
IEFA,0.0,0.0
IEMG,0.0,0.0
IFGL,0.34600000000000003,1.0
IGSB,0.0,0.0
IJH,0.0,0.0
IJR,0.0,0.0
ITOT,0.0,0.0
IUSB,0.0,0.0
IVE,0.0,0.0
IVV,0.0,0.0
IVW,0.0,0.0
IWB,0.0,0.0
IWD,0.0,0.0
IWF,0.0,0.0
IWM,0.0,0.0
IWR,0.0,0.0
IWTR,0.2429,1.0
IXUS,0.0,0.0
JEPI,0.0,0.0
JPST,0.0,0.0
KARS,0.3478,1.0
KGRN,0.7155,1.0
KLNE,0.41590000000000005,1.0
LIT,0.2782,1.0
LQD,0.0,0.0
MBB,0.0,0.0
MDY,0.0,0.0
MGK,0.0,0.0
MUB,0.0,0.0
MVPS,0.22949999999999998,1.0
NBCT,0.1931,1.0
NXTE,0.22510000000000002,1.0
OCEN,0.23440000000000003,1.0
PBD,0.48719999999999997,1.0
PBW,0.34369999999999995,1.0
PGAL,0.2494,1.0
PP,0.2211,1.0
QCLN,0.4545,1.0
QQQ,0.0,0.0
QQQM,0.0,0.0
QUAL,0.0,0.0
RAYS,0.525,1.0
REET,0.23620000000000002,1.0
RITA,0.2702,1.0
RNEW,0.40299999999999997,1.0
RNRG,0.5455,1.0
RNWZ,0.256,1.0
RSP,0.0,0.0
RWO,0.2495,1.0
RWX,0.38020000000000004,1.0
SCHB,0.0,0.0
SCHD,0.0,0.0
SCHF,0.0,0.0
SCHG,0.0,0.0
SCHX,0.0,0.0
SDG,0.6943,1.0
SDY,0.0,0.0
SGOV,0.0,0.0
SHV,0.0,0.0
SHY,0.0,0.0
SIMS,0.2177,1.0
SMOG,0.4705,1.0
SOLR,0.2792,1.0
SPDW,0.0,0.0
SPLG,0.0,0.0
SPY,0.0,0.0
SPYG,0.0,0.0
SPYV,0.0,0.0
SRET,0.231,1.0
TAN,0.6887000000000001,1.0
TEMP,0.21600000000000003,1.0
TIP,0.0,0.0
TLT,0.0,0.0
TQQQ,0.0,0.0
UPGR,0.3801,1.0
USFR,0.0,0.0
USMV,0.0,0.0
VB,0.0,0.0
VBR,0.0,0.0
VCIT,0.0,0.0
VCLN,0.4214,1.0
VCSH,0.0,0.0
VEA,0.0,0.0
VEU,0.0,0.0
VGIT,0.0,0.0
VGK,0.0,0.0
VGSH,0.0,0.0
VGT,0.0,0.0
VHT,0.0,0.0
VIG,0.0,0.0
VMBS,0.0,0.0
VNQ,0.0,0.0
VNQI,0.27,1.0
VO,0.0,0.0
VOE,0.0,0.0
VOO,0.0,0.0
VPN,0.1949,1.0
VT,0.0,0.0
VTEB,0.0,0.0
VTI,0.0,0.0
VTIP,0.0,0.0
VTV,0.0,0.0
VUG,0.0,0.0
VV,0.0,0.0
VWO,0.0,0.0
VXF,0.0,0.0
VXUS,0.0,0.0
VYM,0.0,0.0
WNDY,0.6842,1.0
WOOD,0.29309999999999997,1.0
WPS,0.3354,1.0
WTRE,0.2688,1.0
XLE,0.0,0.0
XLF,0.0,0.0
XLI,0.0,0.0
XLK,0.0,0.0
XLP,0.0,0.0
XLV,0.0,0.0
XLY,0.0,0.0
